time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1693872000,25878.61,25567.56,25816.24,10888.31,280146729.52,25785.01,direct,""
1693958400,26019.64,25379.85,25785.01,15183.61,390027105.24,25751.71,direct,""
1694044800,26426.41,25600.8,25751.71,18952.45,491838528.79,26264.75,direct,""
1694131200,26443.61,25650.9,26264.75,18556.34,482397556.59,25907.13,direct,""
1694217600,25936.62,25799.89,25907.13,4094.4,105931726.4,25898.41,direct,""
1694304000,26020.84,25589.02,25898.41,8434.22,217583144.54,25833.67,direct,""
1694390400,25889.38,24911.78,25833.67,24481.75,619642052.88,25157.07,direct,""
1694476800,26545.24,25128.37,25157.07,36111.44,937711286.48,25840.34,direct,""
1694563200,26432.59,25768.65,25840.34,18955.32,495397769.94,26227.49,direct,""
1694649600,26845.74,26136.39,26227.49,24488.8,649517751.61,26533.66,direct,""
1694736000,26879.57,26224.91,26533.66,17339,459310066.65,26605.49,direct,""
1694822400,26771.68,26459.99,26605.49,7062.9,187703875.45,26569.13,direct,""
1694908800,26621.93,26413.39,26569.13,5698.34,151125765.17,26533.12,direct,""
1694995200,27425.7,26394.81,26533.12,29536.95,797114111.3,26767.82,direct,""
1695081600,27493.85,26676.6,26767.82,24703.82,670630172.73,27219.02,direct,""
1695168000,27389.22,26814.07,27219.02,21439.58,581302466.15,27126.4,direct,""
1695254400,27162,26373.55,27126.4,20948.1,559336631.68,26567.47,direct,""
1695340800,26738.04,26478.87,26567.47,15354.82,408613785.26,26583.16,direct,""
1695427200,26640.84,26522.49,26583.16,5251.29,139605320.21,26585.41,direct,""
1695513600,26732.91,26146.79,26585.41,9848.35,260953441.64,26261.44,direct,""
1695600000,26439.02,25997.17,26261.44,19804.27,518905094.49,26297.93,direct,""
1695686400,26395.42,26090.75,26297.93,12902.09,338286231.16,26212.59,direct,""
1695772800,26828.5,26096.78,26212.59,24188.11,638562791.04,26360.2,direct,""
1695859200,27306.05,26328.53,26360.2,30832.51,827813877.45,27027.2,direct,""
1695945600,27233.94,26674.22,27027.2,21721.72,585322764.87,26909.4,direct,""
1696032000,27095.39,26887.09,26909.4,7260.78,195916128.74,26964.27,direct,""
1696118400,28060.49,26958.76,26964.27,16861.15,464200302.08,27994.51,direct,""
1696204800,28585.13,27312.81,27994.51,42701.42,1198411956.48,27507.22,direct,""
1696291200,27669.05,27170.07,27507.22,22621.25,620603083.21,27428.66,direct,""
1696377600,27836.54,27222.97,27428.66,18061.23,497243557.18,27789.8,direct,""
1696464000,28128.37,27363.01,27789.8,25127.82,696054430.54,27414.59,direct,""
1696550400,28280.04,27181.63,27414.59,25278.57,701648471.47,27946.61,direct,""
1696636800,28035.05,27864.11,27946.61,7351.08,205394649,27973.69,direct,""
1696723200,28105.36,27714.35,27973.69,8547.03,238690010.87,27933.57,direct,""
1696809600,27999.8,27282.89,27933.57,21887.87,603964078.09,27598.77,direct,""
1696896000,27735.72,27298.5,27598.77,18600.95,511109469.33,27395.4,direct,""
1696982400,27475.69,26531.55,27395.4,30496.51,821395574.15,26871.21,direct,""
1697068800,26937.98,26549.78,26871.21,16400.37,438531983.5,26756.23,direct,""
1697155200,27110.91,26674.97,26756.23,18507.04,496779424.55,26862.9,direct,""
1697241600,26982.78,26810.02,26862.9,5865.21,157685357.78,26854.52,direct,""
1697328000,27297.26,26813.06,26854.52,10978.68,297110024.59,27177.41,direct,""
1697414400,30009.15,27131.48,27177.41,66720.48,1884462991.7,28518.37,direct,""
1697500800,28628.83,28094.14,28518.37,26038.83,739741149.31,28409.46,direct,""
1697587200,28988.79,28156.7,28409.46,23999.55,682875511.71,28328.07,direct,""
1697673600,28927.17,28135.5,28328.07,25550.36,730081363.3,28733.78,direct,""
1697760000,30243.12,28596.96,28733.78,42016.08,1241026952.55,29684.37,direct,""
1697846400,30365.61,29480.22,29684.37,15637.83,467626116.49,29924.08,direct,""
1697932800,30232.64,29674.58,29924.08,13845.91,414432274.92,30001.44,direct,""
1698019200,34739.17,29898.26,30001.44,73249.41,2308556876.22,33084.08,direct,""
1698105600,35183.22,32857.8,33084.08,75112.67,2559949343.79,33923.52,direct,""
1698192000,35136.87,33698.9,33923.52,43002.87,1481128342.82,34503.4,direct,""
1698278400,34836.51,33746.16,34503.4,36463.09,1248469956.72,34157.06,direct,""
1698364800,34246.78,33406.13,34157.06,30792.41,1044635721.14,33907.7,direct,""
1698451200,34494.4,33876.07,33907.7,10888.97,371696781.35,34090.05,direct,""
1698537600,34761.09,33947.8,34090.05,13639.48,469534963.71,34535.38,direct,""
1698624000,34862.12,34090.22,34535.38,23948.89,825552244.82,34494.56,direct,""
1698710400,34726.05,34058.4,34494.56,21982.74,756326173.72,34657.73,direct,""
1698796800,35623.76,34096.9,34657.73,34274.26,1190955576.06,35439.76,direct,""
1698883200,35973.2,34323.19,35439.76,31205.25,1097011932.14,34947.15,direct,""
1698969600,34950.21,34118.29,34947.15,27811.97,960199464.71,34732.28,direct,""
1699056000,35278.07,34606.38,34732.28,10840.41,377653497.47,35086.09,direct,""
1699142400,35393.84,34489.02,35086.09,15210.52,533016306.01,35039.47,direct,""
1699228800,35288.36,34758.64,35039.47,17520.44,613732584.95,35054.59,direct,""
1699315200,35929.83,34537.87,35054.59,28810.78,1012278827.62,35421.85,direct,""
1699401600,36109.43,35120.46,35421.85,26404.64,937630450.49,35638.33,direct,""
1699488000,37990.51,35557.78,35638.33,62530.57,2296501186.4,36704.14,direct,""
1699574400,37536.44,36342.27,36704.14,32545.3,1206040827.09,37321.51,direct,""
1699660800,37417.29,36701.83,37321.51,14920.5,553215494.09,37142.22,direct,""
1699747200,37233.45,36747.05,37142.22,9320.87,345567975.97,37079.76,direct,""
1699833600,37429.52,36358,37079.76,24368.53,897671274.64,36482.51,direct,""
1699920000,36752.31,34788.17,36482.51,33896.65,1219819360.84,35551.21,direct,""
1700006400,37977.31,35374.22,35551.21,39005.98,1436101057.95,37884.19,direct,""
1700092800,37951.14,35512.38,37884.19,38917.77,1428319260.74,36162.42,direct,""
1700179200,36780.63,35873.7,36162.42,28253.69,1027029255.11,36626.32,direct,""
1700265600,36853.45,36212.85,36626.32,8649.03,316037508.01,36591.19,direct,""
1700352000,37529.1,36411.61,36591.19,11668.93,430198062.65,37388.64,direct,""
1700438400,37770.11,36767.05,37388.64,31117.45,1162294169.25,37476.66,direct,""
1700524800,37665.29,35753.93,37476.66,42793.3,1579350547.76,35758.72,direct,""
1700611200,37866.63,35656.41,35758.72,36262.61,1335151412.8,37424.2,direct,""
1700697600,37646.06,36892.34,37424.2,16793.76,626668140.1,37299.18,direct,""
