time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1693008000,20.43,20.18,20.42,288121.33,5846199.1,20.28,direct,""
1693094400,20.9,20.23,20.28,421942.32,8703634.15,20.79,direct,""
1693180800,20.79,20.03,20.79,747164.4,15293473.06,20.55,direct,""
1693267200,22.02,20.11,20.55,2009874.66,43104524.43,21.79,direct,""
1693353600,21.99,20.61,21.79,1126289.83,23853899.07,20.82,direct,""
1693440000,21.05,19.43,20.82,2036894.53,40987465.06,19.73,direct,""
1693526400,19.92,19.03,19.73,1308254.33,25529022.64,19.32,direct,""
1693612800,19.68,19.14,19.32,477963.05,9303242.26,19.49,direct,""
1693699200,19.66,19.24,19.49,480251.45,9355187.04,19.57,direct,""
1693785600,20.02,19.18,19.57,732674.12,14340090.33,19.51,direct,""
1693872000,20.57,19.04,19.51,1607009.67,32071933.35,20.26,direct,""
1693958400,20.37,19.15,20.26,1185166.35,23346044.78,19.64,direct,""
1694044800,19.99,19.32,19.64,889595.8,17484240.88,19.91,direct,""
1694131200,20.28,19.36,19.91,808577.24,15951678.76,19.61,direct,""
1694217600,19.61,19.37,19.61,321230.59,6265388.01,19.44,direct,""
1694304000,19.44,17.81,19.44,1945067.71,35702570.25,18.24,direct,""
1694390400,18.45,17.36,18.24,1976191.67,35117993.35,17.72,direct,""
1694476800,18.78,17.57,17.72,1802892.84,32553058.8,17.92,direct,""
1694563200,18.56,17.69,17.92,1793641.37,32656406.15,18.4,direct,""
1694649600,19.32,18.4,18.4,1430116.4,27057514.48,18.86,direct,""
1694736000,19.49,18.56,18.86,1214263.19,23027812.86,19.14,direct,""
1694822400,19.44,18.88,19.14,551791.81,10552890.07,19.13,direct,""
1694908800,19.14,18.66,19.13,378311.32,7150337.15,18.82,direct,""
1694995200,20.14,18.61,18.82,1611968.16,31623524,19.66,direct,""
1695081600,20.38,19.58,19.66,1062962.62,21278349.73,20.04,direct,""
1695168000,20.51,19.81,20.04,1284276.46,25908280.08,20.29,direct,""
1695254400,20.3,19.28,20.29,1467070.34,28829909.47,19.46,direct,""
1695340800,19.79,19.17,19.46,820242.58,15987737.87,19.42,direct,""
1695427200,19.57,19.29,19.42,431831.79,8393642.55,19.48,direct,""
1695513600,19.67,19.22,19.48,410654.26,8015635.64,19.36,direct,""
1695600000,19.74,19.1,19.36,858896,16737951.03,19.39,direct,""
1695686400,19.51,18.84,19.39,846679.45,16268094.95,19.02,direct,""
1695772800,19.46,18.74,19.02,1372952.7,26271842.25,19.12,direct,""
1695859200,20.03,19.09,19.12,1544820.78,30020126.04,19.98,direct,""
1695945600,20.45,19.86,19.98,905087.12,18287661.5,20.27,direct,""
1696032000,21.79,20.09,20.27,1321666.39,27753526.18,21.36,direct,""
1696118400,24.46,21.14,21.36,2233871.47,51515877.22,23.86,direct,""
1696204800,24.74,22.92,23.86,2408171.34,57631896.87,23.36,direct,""
1696291200,24.73,23.23,23.36,1850792.47,44313437.63,23.61,direct,""
1696377600,23.83,22.61,23.61,1435741.8,33230796.08,23.14,direct,""
1696464000,23.88,22.59,23.14,1162725.38,26913048.75,22.69,direct,""
1696550400,23.76,22.67,22.69,1178779.29,27488403.68,23.43,direct,""
